"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Normal",3,"Peak",1,"Naive","0.08753 (0.001590)","0.1891 (0.001418)","0.7792 (0.003935)","0.5214 (0.001800)",11112,11112
"Normal",3,"Peak",1,"CBAE-SI","0.01005 (0.001655)","0.1747 (0.001291)","—","—",11112,
"Normal",3,"Peak",1,"CBAE-MI","-0.03833 (0.001833)","0.1950 (0.001406)","—","—",10881,
"Normal",3,"Peak",1,"CMUE-MLE","0.00006112 (0.001832)","0.1931 (0.001470)","0.9714 (0.001582)","0.7408 (0.0009160)",11112,11112
"Normal",3,"Peak",1,"CMUE-ZERO","0.04946 (0.001879)","0.2041 (0.001520)","0.9337 (0.002361)","0.7023 (0.0009387)",11112,11112
"Normal",3,"Peak",1,"RB","-0.004285 (0.001874)","0.1975 (0.001697)","0.9468 (0.002129)","0.7699 (0.0008029)",11109,11109
"Normal",3,"Peak",2,"Stage 2","-0.005804 (0.002485)","0.2602 (0.001750)","0.9481 (0.002120)","1.012 (0)",10957,10957
"Normal",3,"Peak",2,"Naive","0.08870 (0.001608)","0.1902 (0.001430)","0.7751 (0.003989)","0.5192 (0.001835)",10957,10957
"Normal",3,"Peak",2,"CBAE-SI","0.01200 (0.001673)","0.1755 (0.001303)","—","—",10957,
"Normal",3,"Peak",2,"CBAE-MI","-0.03663 (0.001854)","0.1959 (0.001410)","—","—",10768,
"Normal",3,"Peak",2,"CMUE-MLE","0.001922 (0.001855)","0.1942 (0.001478)","0.9695 (0.001642)","0.7403 (0.0009255)",10957,10957
"Normal",3,"Peak",2,"CMUE-ZERO","0.05034 (0.001902)","0.2054 (0.001516)","0.9318 (0.002408)","0.7022 (0.0009505)",10957,10957
"Normal",3,"Peak",2,"RB","-0.001364 (0.001896)","0.1984 (0.001703)","0.9436 (0.002204)","0.7689 (0.0008086)",10955,10955
"Normal",3,"Peak",3,"Stage 2","-0.0002273 (0.002464)","0.2586 (0.001706)","0.9516 (0.002043)","1.012 (0)",11022,11022
"Normal",3,"Peak",3,"Naive","0.09029 (0.001602)","0.1909 (0.001439)","0.7765 (0.003968)","0.5231 (0.001809)",11022,11022
