"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Log(OR)",3,"H1",4,"CBAE-MI","-0.04823 (0.001845)","0.2914 (0.001378)","—","—",24277,
"Log(OR)",3,"H1",4,"CMUE-MLE","-0.03595 (0.001361)","0.2179 (0.001336)","0.9768 (0.0009530)","0.8284 (0.001405)",24954,24954
"Log(OR)",3,"H1",4,"CMUE-ZERO","0.03782 (0.001201)","0.1934 (0.001159)","0.9444 (0.001450)","0.6369 (0.001570)",24954,24954
"Log(OR)",3,"H1",4,"RB","-0.01858 (0.002000)","0.3165 (0.001395)","0.9602 (0.001237)","1.270 (0.0008560)",24954,24954
"Log(OR)",3,"Peak",1,"Stage 2","0.003817 (0.003993)","0.4182 (0.002795)","0.9453 (0.002171)","1.623 (0.00006964)",10971,10971
"Log(OR)",3,"Peak",1,"Naive","0.1461 (0.002575)","0.3067 (0.002341)","0.8772 (0.003133)","0.9796 (0.0008050)",10971,10971
"Log(OR)",3,"Peak",1,"CBAE-SI","0.01925 (0.002648)","0.2780 (0.002113)","—","—",10971,
"Log(OR)",3,"Peak",1,"CBAE-MI","-0.05501 (0.002901)","0.3033 (0.002213)","—","—",10572,
"Log(OR)",3,"Peak",1,"CMUE-MLE","0.002723 (0.002805)","0.2938 (0.002205)","0.9758 (0.001468)","1.079 (0.001883)",10971,10971
"Log(OR)",3,"Peak",1,"CMUE-ZERO","0.07908 (0.002829)","0.3067 (0.002116)","0.9394 (0.002278)","0.9993 (0.002374)",10971,10971
"Log(OR)",3,"Peak",1,"RB","-0.002813 (0.002924)","0.3063 (0.002712)","0.9534 (0.002012)","1.231 (0.001269)",10971,10971
"Log(OR)",3,"Peak",2,"Stage 2","0.008516 (0.003941)","0.4162 (0.002748)","0.9493 (0.002077)","1.624 (0.00007001)",11151,11151
"Log(OR)",3,"Peak",2,"Naive","0.1436 (0.002522)","0.3026 (0.002252)","0.8808 (0.003068)","0.9795 (0.0007983)",11151,11151
"Log(OR)",3,"Peak",2,"CBAE-SI","0.01754 (0.002600)","0.2751 (0.002015)","—","—",11151,
"Log(OR)",3,"Peak",2,"CBAE-MI","-0.05506 (0.002859)","0.3015 (0.002167)","—","—",10758,
"Log(OR)",3,"Peak",2,"CMUE-MLE","0.002050 (0.002775)","0.2930 (0.002143)","0.9778 (0.001394)","1.079 (0.001860)",11151,11151
"Log(OR)",3,"Peak",2,"CMUE-ZERO","0.07769 (0.002794)","0.3051 (0.002064)","0.9432 (0.002191)","1.001 (0.002329)",11151,11151
"Log(OR)",3,"Peak",2,"RB","-0.002586 (0.002884)","0.3045 (0.002640)","0.9543 (0.001977)","1.230 (0.001249)",11149,11149
"Log(OR)",3,"Peak",3,"Stage 2","0.001271 (0.003932)","0.4146 (0.002716)","0.9474 (0.002118)","1.624 (0.00007071)",11117,11117
"Log(OR)",3,"Peak",3,"Naive","0.1442 (0.002521)","0.3024 (0.002258)","0.8842 (0.003034)","0.9787 (0.0007937)",11117,11117
"Log(OR)",3,"Peak",3,"CBAE-SI","0.01741 (0.002604)","0.2751 (0.002038)","—","—",11117,
"Log(OR)",3,"Peak",3,"CBAE-MI","-0.05482 (0.002873)","0.3020 (0.002179)","—","—",10683,
"Log(OR)",3,"Peak",3,"CMUE-MLE","0.002184 (0.002783)","0.2934 (0.002183)","0.9765 (0.001436)","1.078 (0.001845)",11117,11117
"Log(OR)",3,"Peak",3,"CMUE-ZERO","0.07853 (0.002797)","0.3052 (0.002094)","0.9404 (0.002246)","0.9998 (0.002315)",11117,11117
"Log(OR)",3,"Peak",3,"RB","-0.003117 (0.002912)","0.3070 (0.002712)","0.9530 (0.002007)","1.229 (0.001251)",11115,11115
"Log(OR)",3,"Peak",4,"Stage 2","-0.004296 (0.001582)","0.4073 (0.001117)","0.9489 (0.0008556)","1.620 (0.00001776)",66232,66232
"Log(OR)",3,"Peak",4,"Naive","0.07258 (0.001038)","0.2768 (0.0007507)","0.9536 (0.0008172)","1.016 (0.0003981)",66232,66232
"Log(OR)",3,"Peak",4,"CBAE-SI","-0.01195 (0.001074)","0.2766 (0.0007879)","—","—",66232,
"Log(OR)",3,"Peak",4,"CBAE-MI","-0.04971 (0.001110)","0.2896 (0.0008746)","—","—",66033,
"Log(OR)",3,"Peak",4,"CMUE-MLE","-0.05246 (0.0008725)","0.2306 (0.0009298)","0.9703 (0.0006601)","0.8020 (0.0008646)",66232,66232
"Log(OR)",3,"Peak",4,"CMUE-ZERO","-0.01530 (0.0008409)","0.2170 (0.0009197)","0.9576 (0.0007827)","0.7073 (0.0009530)",66232,66232
"Log(OR)",3,"Peak",4,"RB","-0.01320 (0.001130)","0.2910 (0.0008846)","0.9631 (0.0007328)","1.166 (0.0004349)",66232,66232
"Log(OR)",3,"Line",1,"Stage 2","0.002107 (0.007884)","0.4189 (0.005845)","0.9433 (0.004350)","1.628 (0.0001981)",2824,2824
"Log(OR)",3,"Line",1,"Naive","0.1903 (0.004682)","0.3132 (0.004952)","0.8892 (0.005907)","0.9931 (0.001705)",2824,2824
"Log(OR)",3,"Line",1,"CBAE-SI","0.04055 (0.004919)","0.2645 (0.004489)","—","—",2824,
"Log(OR)",3,"Line",1,"CBAE-MI","-0.04081 (0.005785)","0.2926 (0.004754)","—","—",2510,
"Log(OR)",3,"Line",1,"CMUE-MLE","0.01041 (0.005713)","0.3037 (0.004558)","0.9678 (0.003323)","1.187 (0.003422)",2824,2824
"Log(OR)",3,"Line",1,"CMUE-ZERO","0.1048 (0.005828)","0.3269 (0.004479)","0.9274 (0.004883)","1.132 (0.004279)",2824,2824
"Log(OR)",3,"Line",1,"RB","0.006491 (0.006129)","0.3256 (0.005425)","0.9539 (0.003946)","1.288 (0.002652)",2822,2822
"Log(OR)",3,"Line",2,"Stage 2","0.002717 (0.004239)","0.4161 (0.002965)","0.9486 (0.002248)","1.623 (0.00007409)",9638,9638
"Log(OR)",3,"Line",2,"Naive","0.1494 (0.002729)","0.3068 (0.002424)","0.8741 (0.003379)","0.9798 (0.0008611)",9638,9638
"Log(OR)",3,"Line",2,"CBAE-SI","0.02182 (0.002811)","0.2768 (0.002183)","—","—",9638,
"Log(OR)",3,"Line",2,"CBAE-MI","-0.05368 (0.003093)","0.3027 (0.002338)","—","—",9278,
"Log(OR)",3,"Line",2,"CMUE-MLE","0.006621 (0.002989)","0.2935 (0.002319)","0.9767 (0.001538)","1.076 (0.002001)",9638,9638
"Log(OR)",3,"Line",2,"CMUE-ZERO","0.08414 (0.003008)","0.3071 (0.002230)","0.9404 (0.002411)","0.9963 (0.002515)",9638,9638
"Log(OR)",3,"Line",2,"RB","-0.003832 (0.003142)","0.3085 (0.002916)","0.9504 (0.002212)","1.233 (0.001351)",9637,9637
"Log(OR)",3,"Line",3,"Stage 2","0.001110 (0.002548)","0.4130 (0.001774)","0.9525 (0.001312)","1.621 (0.00002988)",26274,26274
"Log(OR)",3,"Line",3,"Naive","0.1161 (0.001709)","0.3004 (0.001318)","0.9367 (0.001503)","0.9882 (0.0005639)",26274,26274
"Log(OR)",3,"Line",3,"CBAE-SI","0.009315 (0.001753)","0.2843 (0.001262)","—","—",26274,
"Log(OR)",3,"Line",3,"CBAE-MI","-0.05202 (0.001856)","0.3033 (0.001393)","—","—",25936,
"Log(OR)",3,"Line",3,"CMUE-MLE","-0.007857 (0.001664)","0.2698 (0.001349)","0.9727 (0.001005)","0.9443 (0.001294)",26274,26274
"Log(OR)",3,"Line",3,"CMUE-ZERO","0.05061 (0.001644)","0.2713 (0.001259)","0.9468 (0.001384)","0.8480 (0.001557)",26274,26274
"Log(OR)",3,"Line",3,"RB","-0.009637 (0.001853)","0.3005 (0.001604)","0.9571 (0.001250)","1.201 (0.0007856)",26273,26272
"Log(OR)",3,"Line",4,"Stage 2","-0.003702 (0.001649)","0.4067 (0.001163)","0.9496 (0.0008872)","1.620 (0.00001864)",60830,60830
"Log(OR)",3,"Line",4,"Naive","0.07982 (0.001079)","0.2779 (0.0007828)","0.9539 (0.0008503)","1.018 (0.0004173)",60830,60830
"Log(OR)",3,"Line",4,"CBAE-SI","-0.006344 (0.001116)","0.2753 (0.0008122)","—","—",60830,
"Log(OR)",3,"Line",4,"CBAE-MI","-0.04801 (0.001156)","0.2888 (0.0009001)","—","—",60635,
"Log(OR)",3,"Line",4,"CMUE-MLE","-0.04786 (0.0008985)","0.2267 (0.0009375)","0.9711 (0.0006794)","0.7988 (0.0008973)",60830,60830
"Log(OR)",3,"Line",4,"CMUE-ZERO","-0.009563 (0.0008637)","0.2132 (0.0009237)","0.9574 (0.0008188)","0.7008 (0.0009930)",60830,60830
"Log(OR)",3,"Line",4,"RB","-0.01320 (0.001183)","0.2921 (0.0009071)","0.9640 (0.0007548)","1.176 (0.0004706)",60830,60830
"Log(OR)",4,"H0",1,"Stage 2","0.002517 (0.003221)","0.4642 (0.002254)","0.9485 (0.001533)","1.807 (0.0001466)",20771,20771
"Log(OR)",4,"H0",1,"Naive","0.1231 (0.001539)","0.2536 (0.001326)","0.9459 (0.001570)","1.074 (0.0008531)",20771,20771
"Log(OR)",4,"H0",1,"CBAE-SI","0.004382 (0.001826)","0.2632 (0.001375)","—","—",20771,
"Log(OR)",4,"H0",1,"CBAE-MI","-0.06481 (0.002192)","0.3175 (0.001808)","—","—",20102,
"Log(OR)",4,"H0",1,"CMUE-MLE","-0.06991 (0.002394)","0.3521 (0.001870)","0.9565 (0.001416)","1.228 (0.0009816)",20771,20771
"Log(OR)",4,"H0",1,"CMUE-ZERO","-0.05803 (0.002487)","0.3632 (0.001875)","0.9495 (0.001519)","1.224 (0.001034)",20771,20771
"Log(OR)",4,"H0",1,"RB","-0.004056 (0.002473)","0.3564 (0.001961)","0.9584 (0.001386)","1.376 (0.001411)",20771,20770
"Log(OR)",4,"H0",2,"Stage 2","-0.001343 (0.003229)","0.4665 (0.002285)","0.9473 (0.001547)","1.807 (0.0001456)",20877,20877
"Log(OR)",4,"H0",2,"Naive","0.1205 (0.001530)","0.2518 (0.001309)","0.9453 (0.001574)","1.076 (0.0008538)",20877,20877
"Log(OR)",4,"H0",2,"CBAE-SI","0.001562 (0.001820)","0.2629 (0.001408)","—","—",20877,
"Log(OR)",4,"H0",2,"CBAE-MI","-0.06624 (0.002168)","0.3150 (0.001798)","—","—",20183,
"Log(OR)",4,"H0",2,"CMUE-MLE","-0.07391 (0.002386)","0.3525 (0.001870)","0.9556 (0.001425)","1.229 (0.0009919)",20877,20877
"Log(OR)",4,"H0",2,"CMUE-ZERO","-0.06259 (0.002478)","0.3634 (0.001868)","0.9478 (0.001539)","1.225 (0.001039)",20877,20877
"Log(OR)",4,"H0",2,"RB","-0.008651 (0.002473)","0.3574 (0.002012)","0.9579 (0.001389)","1.379 (0.001409)",20874,20873
"Log(OR)",4,"H0",3,"Stage 2","-0.004442 (0.003210)","0.4664 (0.002239)","0.9477 (0.001533)","1.807 (0.0001468)",21102,21102
"Log(OR)",4,"H0",3,"Naive","0.1191 (0.001519)","0.2508 (0.001308)","0.9480 (0.001528)","1.076 (0.0008524)",21102,21102
"Log(OR)",4,"H0",3,"CBAE-SI","-0.0004240 (0.001811)","0.2631 (0.001384)","—","—",21102,
"Log(OR)",4,"H0",3,"CBAE-MI","-0.07022 (0.002175)","0.3185 (0.001799)","—","—",20403,
"Log(OR)",4,"H0",3,"CMUE-MLE","-0.07588 (0.002377)","0.3536 (0.001860)","0.9556 (0.001418)","1.229 (0.0009853)",21102,21102
"Log(OR)",4,"H0",3,"CMUE-ZERO","-0.06392 (0.002467)","0.3641 (0.001864)","0.9492 (0.001512)","1.226 (0.001030)",21102,21102
"Log(OR)",4,"H0",3,"RB","-0.01033 (0.002464)","0.3580 (0.001979)","0.9602 (0.001345)","1.379 (0.001406)",21099,21099
"Log(OR)",4,"H0",4,"Stage 2","-0.002260 (0.003245)","0.4673 (0.002289)","0.9460 (0.001570)","1.807 (0.0001480)",20742,20742
"Log(OR)",4,"H0",4,"Naive","0.1196 (0.001537)","0.2515 (0.001279)","0.9469 (0.001557)","1.075 (0.0008579)",20742,20742
"Log(OR)",4,"H0",4,"CBAE-SI","0.0003689 (0.001835)","0.2643 (0.001399)","—","—",20742,
"Log(OR)",4,"H0",4,"CBAE-MI","-0.06794 (0.002195)","0.3181 (0.001806)","—","—",20046,
"Log(OR)",4,"H0",4,"CMUE-MLE","-0.07526 (0.002402)","0.3541 (0.001878)","0.9573 (0.001404)","1.228 (0.0009939)",20742,20742
"Log(OR)",4,"H0",4,"CMUE-ZERO","-0.06376 (0.002493)","0.3646 (0.001878)","0.9505 (0.001506)","1.225 (0.001034)",20742,20742
"Log(OR)",4,"H0",4,"RB","-0.01044 (0.002497)","0.3597 (0.002025)","0.9587 (0.001382)","1.379 (0.001420)",20738,20736
"Log(OR)",4,"H1",1,"Stage 2","0.002236 (0.002814)","0.4454 (0.001999)","0.9524 (0.001344)","1.779 (0.00003558)",25061,25061
"Log(OR)",4,"H1",1,"Naive","0.1365 (0.001741)","0.3076 (0.001551)","0.9292 (0.001620)","1.025 (0.0006700)",25061,25061
"Log(OR)",4,"H1",1,"CBAE-SI","0.003107 (0.001774)","0.2808 (0.001378)","—","—",25061,
"Log(OR)",4,"H1",1,"CBAE-MI","-0.05405 (0.001803)","0.2875 (0.001359)","—","—",24547,
"Log(OR)",4,"H1",1,"CMUE-MLE","-0.03892 (0.001312)","0.2113 (0.001206)","0.9730 (0.001024)","0.7885 (0.001295)",25061,25061
"Log(OR)",4,"H1",1,"CMUE-ZERO","0.02455 (0.001183)","0.1888 (0.001107)","0.9497 (0.001381)","0.6423 (0.001523)",25061,25061
"Log(OR)",4,"H1",1,"RB","-0.02257 (0.001902)","0.3020 (0.001477)","0.9613 (0.001219)","1.228 (0.0009208)",25060,25059
"Log(OR)",4,"H1",2,"Stage 2","0.0008648 (0.002863)","0.4526 (0.001980)","0.9497 (0.001383)","1.779 (0.00003609)",24989,24989
"Log(OR)",4,"H1",2,"Naive","0.1395 (0.001757)","0.3108 (0.001563)","0.9256 (0.001660)","1.026 (0.0006777)",24989,24989
"Log(OR)",4,"H1",2,"CBAE-SI","0.005889 (0.001795)","0.2838 (0.001397)","—","—",24989,
"Log(OR)",4,"H1",2,"CBAE-MI","-0.05046 (0.001828)","0.2900 (0.001367)","—","—",24411,
"Log(OR)",4,"H1",2,"CMUE-MLE","-0.03826 (0.001320)","0.2121 (0.001265)","0.9728 (0.001029)","0.7867 (0.001313)",24989,24989
"Log(OR)",4,"H1",2,"CMUE-ZERO","0.02534 (0.001190)","0.1897 (0.001169)","0.9485 (0.001398)","0.6400 (0.001536)",24989,24989
"Log(OR)",4,"H1",2,"RB","-0.02022 (0.001927)","0.3053 (0.001520)","0.9593 (0.001251)","1.230 (0.0009212)",24988,24988
"Log(OR)",4,"H1",3,"Stage 2","-0.0008226 (0.002863)","0.4516 (0.001983)","0.9502 (0.001379)","1.779 (0.00003630)",24893,24893
"Log(OR)",4,"H1",3,"Naive","0.1379 (0.001751)","0.3087 (0.001561)","0.9271 (0.001648)","1.025 (0.0006752)",24893,24893
"Log(OR)",4,"H1",3,"CBAE-SI","0.004727 (0.001788)","0.2822 (0.001385)","—","—",24893,
"Log(OR)",4,"H1",3,"CBAE-MI","-0.05192 (0.001821)","0.2890 (0.001363)","—","—",24375,
"Log(OR)",4,"H1",3,"CMUE-MLE","-0.03875 (0.001311)","0.2104 (0.001188)","0.9736 (0.001017)","0.7873 (0.001309)",24893,24893
"Log(OR)",4,"H1",3,"CMUE-ZERO","0.02460 (0.001182)","0.1881 (0.001095)","0.9482 (0.001405)","0.6414 (0.001535)",24893,24893
"Log(OR)",4,"H1",3,"RB","-0.02144 (0.001921)","0.3039 (0.001488)","0.9599 (0.001244)","1.228 (0.0009169)",24890,24888
"Log(OR)",4,"H1",4,"Stage 2","-0.005413 (0.002830)","0.4474 (0.002001)","0.9510 (0.001365)","1.779 (0.00003579)",24981,24981
"Log(OR)",4,"H1",4,"Naive","0.1381 (0.001740)","0.3078 (0.001557)","0.9277 (0.001638)","1.025 (0.0006717)",24981,24981
"Log(OR)",4,"H1",4,"CBAE-SI","0.003960 (0.001777)","0.2809 (0.001391)","—","—",24981,
"Log(OR)",4,"H1",4,"CBAE-MI","-0.05296 (0.001808)","0.2874 (0.001387)","—","—",24414,
"Log(OR)",4,"H1",4,"CMUE-MLE","-0.03854 (0.001311)","0.2108 (0.001292)","0.9749 (0.0009905)","0.7882 (0.001294)",24981,24981
"Log(OR)",4,"H1",4,"CMUE-ZERO","0.02574 (0.001182)","0.1886 (0.001209)","0.9496 (0.001384)","0.6409 (0.001524)",24981,24981
"Log(OR)",4,"H1",4,"RB","-0.02244 (0.001911)","0.3029 (0.001514)","0.9614 (0.001219)","1.229 (0.0009184)",24981,24981
"Log(OR)",4,"Peak",1,"Stage 2","0.005763 (0.004203)","0.4628 (0.002966)","0.9440 (0.002089)","1.783 (0.00007860)",12122,12122
"Log(OR)",4,"Peak",1,"Naive","0.1270 (0.002469)","0.3000 (0.002217)","0.9204 (0.002459)","0.9592 (0.0007782)",12122,12122
"Log(OR)",4,"Peak",1,"CBAE-SI","0.006392 (0.002465)","0.2714 (0.002082)","—","—",12122,
"Log(OR)",4,"Peak",1,"CBAE-MI","-0.04742 (0.002638)","0.2905 (0.002220)","—","—",11806,
"Log(OR)",4,"Peak",1,"CMUE-MLE","0.0005987 (0.002634)","0.2900 (0.002329)","0.9707 (0.001531)","1.018 (0.001456)",12122,12122
"Log(OR)",4,"Peak",1,"CMUE-ZERO","0.06212 (0.002690)","0.3026 (0.002221)","0.9416 (0.002130)","0.9646 (0.001811)",12122,12122
"Log(OR)",4,"Peak",1,"RB","-0.001051 (0.002677)","0.2947 (0.002797)","0.9680 (0.001599)","1.165 (0.001137)",12120,12120
"Log(OR)",4,"Peak",2,"Stage 2","0.008979 (0.004149)","0.4597 (0.002902)","0.9471 (0.002020)","1.783 (0.00007685)",12273,12273
"Log(OR)",4,"Peak",2,"Naive","0.1250 (0.002438)","0.2976 (0.002139)","0.9212 (0.002432)","0.9586 (0.0007621)",12273,12273
"Log(OR)",4,"Peak",2,"CBAE-SI","0.004685 (0.002432)","0.2695 (0.001972)","—","—",12273,
"Log(OR)",4,"Peak",2,"CBAE-MI","-0.04878 (0.002613)","0.2895 (0.002163)","—","—",11932,
"Log(OR)",4,"Peak",2,"CMUE-MLE","0.0002705 (0.002604)","0.2884 (0.002256)","0.9724 (0.001479)","1.019 (0.001426)",12273,12273
"Log(OR)",4,"Peak",2,"CMUE-ZERO","0.06147 (0.002662)","0.3012 (0.002185)","0.9429 (0.002095)","0.9654 (0.001782)",12273,12273
"Log(OR)",4,"Peak",2,"RB","-0.0009897 (0.002622)","0.2905 (0.002607)","0.9691 (0.001562)","1.164 (0.001125)",12272,12272
"Log(OR)",4,"Peak",3,"Stage 2","-0.0009170 (0.004116)","0.4571 (0.002859)","0.9454 (0.002045)","1.783 (0.00007524)",12332,12332
"Log(OR)",4,"Peak",3,"Naive","0.1206 (0.002423)","0.2949 (0.002133)","0.9270 (0.002342)","0.9594 (0.0007683)",12332,12332
"Log(OR)",4,"Peak",3,"CBAE-SI","-0.0002019 (0.002429)","0.2697 (0.002012)","—","—",12332,
"Log(OR)",4,"Peak",3,"CBAE-MI","-0.05348 (0.002621)","0.2916 (0.002226)","—","—",11962,
"Log(OR)",4,"Peak",3,"CMUE-MLE","-0.006522 (0.002607)","0.2896 (0.002297)","0.9681 (0.001582)","1.023 (0.001420)",12332,12332
"Log(OR)",4,"Peak",3,"CMUE-ZERO","0.05564 (0.002663)","0.3009 (0.002205)","0.9464 (0.002028)","0.9700 (0.001760)",12332,12332
"Log(OR)",4,"Peak",3,"RB","-0.008359 (0.002653)","0.2947 (0.002675)","0.9663 (0.001624)","1.165 (0.001132)",12331,12328
"Log(OR)",4,"Peak",4,"Stage 2","-0.002153 (0.001792)","0.4481 (0.001264)","0.9501 (0.0008707)","1.779 (0.00002019)",62493,62493
"Log(OR)",4,"Peak",4,"Naive","0.07473 (0.001071)","0.2780 (0.0009285)","0.9434 (0.0009246)","1.005 (0.0003914)",62493,62493
"Log(OR)",4,"Peak",4,"CBAE-SI","-0.01969 (0.001078)","0.2702 (0.0008943)","—","—",62493,
"Log(OR)",4,"Peak",4,"CBAE-MI","-0.05055 (0.001096)","0.2782 (0.0009210)","—","—",62301,
"Log(OR)",4,"Peak",4,"CMUE-MLE","-0.05050 (0.0008596)","0.2207 (0.0009288)","0.9672 (0.0007124)","0.7700 (0.0008337)",62493,62493
"Log(OR)",4,"Peak",4,"CMUE-ZERO","-0.01681 (0.0008344)","0.2093 (0.0009355)","0.9586 (0.0007967)","0.6962 (0.0009291)",62493,62493
"Log(OR)",4,"Peak",4,"RB","-0.01639 (0.001129)","0.2828 (0.0009742)","0.9641 (0.0007445)","1.144 (0.0004417)",62493,62491
"Log(OR)",4,"Line",1,"Stage 2","0.004838 (0.007576)","0.4592 (0.005497)","0.9448 (0.003768)","1.789 (0.0002057)",3675,3675
"Log(OR)",4,"Line",1,"Naive","0.1555 (0.004134)","0.2949 (0.004405)","0.8854 (0.005254)","0.9819 (0.001588)",3675,3675
"Log(OR)",4,"Line",1,"CBAE-SI","0.02082 (0.004253)","0.2586 (0.003945)","—","—",3675,
"Log(OR)",4,"Line",1,"CBAE-MI","-0.04408 (0.004893)","0.2890 (0.004274)","—","—",3408,
"Log(OR)",4,"Line",1,"CMUE-MLE","-0.002946 (0.005018)","0.3042 (0.004351)","0.9673 (0.002932)","1.119 (0.002371)",3675,3675
"Log(OR)",4,"Line",1,"CMUE-ZERO","0.06927 (0.005144)","0.3194 (0.004262)","0.9374 (0.003996)","1.085 (0.002912)",3675,3675
"Log(OR)",4,"Line",1,"RB","0.002341 (0.005173)","0.3135 (0.005000)","0.9534 (0.003476)","1.221 (0.002560)",3674,3673
"Log(OR)",4,"Line",2,"Stage 2","0.004533 (0.004400)","0.4568 (0.003096)","0.9479 (0.002142)","1.783 (0.00008122)",10777,10777
"Log(OR)",4,"Line",2,"Naive","0.1304 (0.002594)","0.2992 (0.002281)","0.9158 (0.002674)","0.9577 (0.0008026)",10777,10777
"Log(OR)",4,"Line",2,"CBAE-SI","0.008647 (0.002582)","0.2681 (0.002089)","—","—",10777,
"Log(OR)",4,"Line",2,"CBAE-MI","-0.04765 (0.002778)","0.2883 (0.002291)","—","—",10478,
"Log(OR)",4,"Line",2,"CMUE-MLE","0.004833 (0.002747)","0.2852 (0.002333)","0.9726 (0.001572)","1.016 (0.001521)",10777,10777
"Log(OR)",4,"Line",2,"CMUE-ZERO","0.06774 (0.002811)","0.2995 (0.002262)","0.9425 (0.002243)","0.9620 (0.001905)",10777,10777
"Log(OR)",4,"Line",2,"RB","-0.0006929 (0.002775)","0.2880 (0.002738)","0.9680 (0.001696)","1.164 (0.001180)",10776,10774
"Log(OR)",4,"Line",3,"Stage 2","0.002959 (0.002759)","0.4528 (0.001915)","0.9502 (0.001326)","1.779 (0.00003294)",26938,26938
"Log(OR)",4,"Line",3,"Naive","0.1069 (0.001675)","0.2949 (0.001443)","0.9301 (0.001554)","0.9710 (0.0005455)",26938,26938
"Log(OR)",4,"Line",3,"CBAE-SI","-0.002102 (0.001661)","0.2727 (0.001392)","—","—",26938,
"Log(OR)",4,"Line",3,"CBAE-MI","-0.04779 (0.001718)","0.2846 (0.001464)","—","—",26662,
"Log(OR)",4,"Line",3,"CMUE-MLE","-0.009797 (0.001581)","0.2597 (0.001398)","0.9689 (0.001058)","0.9041 (0.001114)",26938,26938
"Log(OR)",4,"Line",3,"CMUE-ZERO","0.04079 (0.001587)","0.2636 (0.001324)","0.9485 (0.001347)","0.8336 (0.001334)",26938,26938
"Log(OR)",4,"Line",3,"RB","-0.01181 (0.001738)","0.2855 (0.001644)","0.9647 (0.001124)","1.149 (0.0007028)",26937,26936
"Log(OR)",4,"Line",4,"Stage 2","-0.001702 (0.001856)","0.4467 (0.001301)","0.9511 (0.0008955)","1.779 (0.00002107)",57955,57955
"Log(OR)",4,"Line",4,"Naive","0.08022 (0.001109)","0.2787 (0.0009657)","0.9441 (0.0009544)","1.006 (0.0004083)",57955,57955
"Log(OR)",4,"Line",4,"CBAE-SI","-0.01572 (0.001115)","0.2690 (0.0009211)","—","—",57955,
"Log(OR)",4,"Line",4,"CBAE-MI","-0.04963 (0.001136)","0.2774 (0.0009364)","—","—",57780,
"Log(OR)",4,"Line",4,"CMUE-MLE","-0.04717 (0.0008806)","0.2172 (0.0009215)","0.9686 (0.0007245)","0.7679 (0.0008622)",57955,57955
"Log(OR)",4,"Line",4,"CMUE-ZERO","-0.01247 (0.0008524)","0.2056 (0.0009251)","0.9594 (0.0008200)","0.6917 (0.0009641)",57955,57955
"Log(OR)",4,"Line",4,"RB","-0.01669 (0.001172)","0.2827 (0.0009952)","0.9645 (0.0007682)","1.151 (0.0004738)",57955,57954
"Log(OR)",5,"H0",1,"Stage 2","0.001734 (0.003455)","0.4995 (0.002402)","0.9479 (0.001537)","1.936 (0.0001581)",20896,20896
"Log(OR)",5,"H0",1,"Naive","0.1051 (0.001544)","0.2467 (0.001322)","0.9470 (0.001549)","1.046 (0.0007659)",20896,20896
"Log(OR)",5,"H0",1,"CBAE-SI","-0.001596 (0.001799)","0.2600 (0.001493)","—","—",20893,
"Log(OR)",5,"H0",1,"CBAE-MI","-0.05275 (0.002048)","0.2975 (0.001820)","—","—",20429,
"Log(OR)",5,"H0",1,"CMUE-MLE","-0.05555 (0.002219)","0.3256 (0.001983)","0.9570 (0.001403)","1.182 (0.0009553)",20896,20896
"Log(OR)",5,"H0",1,"CMUE-ZERO","-0.04430 (0.002281)","0.3327 (0.001985)","0.9527 (0.001468)","1.181 (0.001001)",20896,20896
"Log(OR)",5,"H0",1,"RB","-0.003366 (0.002277)","0.3292 (0.002126)","0.9667 (0.001242)","1.279 (0.001264)",20894,20891
"Log(OR)",5,"H0",2,"Stage 2","-0.001105 (0.003465)","0.5008 (0.002437)","0.9478 (0.001539)","1.936 (0.0001578)",20898,20898
"Log(OR)",5,"H0",2,"Naive","0.1021 (0.001537)","0.2445 (0.001346)","0.9468 (0.001552)","1.047 (0.0007622)",20898,20898
"Log(OR)",5,"H0",2,"CBAE-SI","-0.004550 (0.001794)","0.2593 (0.001539)","—","—",20893,
"Log(OR)",5,"H0",2,"CBAE-MI","-0.05527 (0.002037)","0.2962 (0.001841)","—","—",20413,
"Log(OR)",5,"H0",2,"CMUE-MLE","-0.05827 (0.002203)","0.3237 (0.001984)","0.9569 (0.001404)","1.184 (0.0009643)",20898,20898
"Log(OR)",5,"H0",2,"CMUE-ZERO","-0.04739 (0.002262)","0.3305 (0.001982)","0.9537 (0.001453)","1.183 (0.001004)",20898,20898
"Log(OR)",5,"H0",2,"RB","-0.006006 (0.002266)","0.3275 (0.002187)","0.9662 (0.001251)","1.281 (0.001256)",20894,20891
"Log(OR)",5,"H0",3,"Stage 2","-0.003458 (0.003455)","0.5012 (0.002421)","0.9481 (0.001529)","1.936 (0.0001564)",21051,21051
"Log(OR)",5,"H0",3,"Naive","0.1037 (0.001529)","0.2448 (0.001310)","0.9471 (0.001543)","1.046 (0.0007601)",21051,21051
"Log(OR)",5,"H0",3,"CBAE-SI","-0.003361 (0.001788)","0.2595 (0.001507)","—","—",21050,
"Log(OR)",5,"H0",3,"CBAE-MI","-0.05386 (0.002032)","0.2961 (0.001812)","—","—",20528,
"Log(OR)",5,"H0",3,"CMUE-MLE","-0.05683 (0.002198)","0.3239 (0.001963)","0.9581 (0.001380)","1.183 (0.0009554)",21051,21051
